2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.003066,1.0366851521159877,1.030916124288979,1.17747261445843,1.179200999072345,1.059558456481382,1.0543909254954527,1.258841759934292,1.2751840055332908,1.2606056816343336,1.2760834257963138,1.2625065359613756,1.264180961702502,1.2704414646286575,1.2748132360715627,1.2016405363474387,1.2066639559146122,1.184050515573975,1.1818065711476977,1.1282296066406154,1.1253770860734587,
0.003578,1.012247584020844,1.0274561261947015,1.1657322483214028,1.1753571770337417,1.048017821342271,1.0504599311483422,1.2609773816732592,1.2706276186908025,1.2769289899737513,1.2713297274882793,1.264306203013898,1.2595969263115325,1.2616253012359016,1.2702929093936692,1.183522984854953,1.202246988662381,1.1783586942383488,1.1773668835282087,1.1188340688421559,1.1211710186660775,
0.00409,1.0244623249065188,1.0240337418732373,1.1578394620185164,1.1715569954847487,1.024267240714397,1.0465727230125779,1.2754234547369896,1.2661222466780284,1.2608216142383406,1.2666293737943166,1.2323510102677686,1.2550642811886448,1.257506431104905,1.265823347999501,1.1734737621019757,1.1978797659242928,1.1553840281088386,1.1729777613331587,1.1096363569532337,1.1170116939559493,
0.004602,1.013147155061915,1.0206484678113532,1.1517226282042876,1.1677998754924477,1.027739346571728,1.0427287097235236,1.2621538925835118,1.2616672050771467,1.2453244071122114,1.2619816456158435,1.2328605313598273,1.2505823355758883,1.2422327926925094,1.2614038714946862,1.1848402310188917,1.193561619061441,1.1669866989859463,1.168638524851303,1.0963856060194228,1.1128984799490895,
0.005114,1.0199809444820418,1.0172998074853146,1.1406986094814848,1.1640852459557103,1.033835071607793,1.0389273082009445,1.2514453976673061,1.2572618189326412,1.2359599142698974,1.2573858338733108,1.2369791719587369,1.2461504082935657,1.2387553966163796,1.257033808868425,1.177743841105943,1.189291888695758,1.1393541868121662,1.164348503761068,1.103935768976382,1.1088307535289965,
0.005626,1.006565271586848,1.0139872712625604,1.1560473521165995,1.1604125434986081,1.0038481572590543,1.0351679435312076,1.247325694056886,1.2529054226190104,1.224641514444941,1.2528412393647659,1.2171412978689247,1.2417678276058315,1.2273377873474318,1.2527124983627105,1.1768587920641889,1.1850699245802696,1.1347591031434445,1.1601070369994781,1.089827337187358,1.10480790032997,
0.006138,1.0005110934110333,1.0107103763047816,1.1387686238556072,1.1567812123652754,1.0149795371828245,1.0314500488511789,1.223896315706674,1.2485973597103446,1.227696663027599,1.248347172626438,1.2345423365215036,1.2374339310881912,1.2302312614084618,1.2484392873433907,1.1618626732571884,1.1808950854711913,1.134386392925869,1.1559134726329274,1.0845697152393659,1.100829314612256,
0.007162,0.9945596908775284,1.004261612230235,1.1360820130676872,1.1496404785260157,1.0095735066394822,1.0241364415752607,1.2289721469799333,1.2401236536325115,1.2227235103513394,1.2395079124736388,1.2074910952533495,1.2289095866400765,1.2251542022016877,1.2400345980856327,1.1524244163232114,1.1726842615582458,1.127816934124792,1.1476674882346962,1.069234437778981,1.0930025650549804,
0.008186,0.9811979749770174,0.997949784843175,1.1212478601110367,1.1426587468870897,1.0005543602256453,1.0169821081706283,1.204697510122451,1.2318356284425205,1.2149916243160668,1.2308627272948354,1.2157212961090884,1.2205722568626245,1.2172365280138602,1.2318146977126738,1.1432807574776722,1.164654462322969,1.1226367900399148,1.1396055128879459,1.0559211474627954,1.0853458268265008,
0.00921,0.9749741377944023,0.9917712664575227,1.1298162830145184,1.1358318353277883,0.9987982308636708,1.0099827920881237,1.2097765204657867,1.2237283510340116,1.2011994120268632,1.2224064381867692,1.195941855377248,1.212416964481016,1.2059860724014049,1.2237746808711352,1.130289649699385,1.1568008692951826,1.1078769363985983,1.13172264701417,1.0678624988131376,1.0778545522188414,
0.010234,0.9644100937663665,0.9857225292523376,1.1103275109564117,1.1291556740381419,0.9876719023114892,1.00313435500078,1.1926441734369733,1.2157970235903217,1.1929549078900306,1.214134009339945,1.1883940480807471,1.204438869111544,1.1941212378299693,1.2159097764190627,1.1313439884465324,1.1491187963831369,1.107074595047998,1.1240141253090472,1.0461269351569396,1.070524320158208,
0.011258,0.9628700707262743,0.9798001424853628,1.110849756650999,1.1226263024842005,0.977495086626418,0.9964327734705315,1.1956848227880408,1.2080369798319501,1.179667513285801,1.2060405440322504,1.1752743428439192,1.1966332634511228,1.1887785977471257,1.2082153437147132,1.1294163034953693,1.1416036861943437,1.093967369516384,1.116475313023574,1.0461101865221272,1.0633508326221863,
0.012282,0.9578216762084272,0.9740007697850971,1.104568378792151,1.1162398664556878,0.9669326049754503,0.9898741357100161,1.1770822166178212,1.2004436813690154,1.1745742055498278,1.1981212807359087,1.1610803376740306,1.1889955695738559,1.1863987924366097,1.200686869008786,1.1186659538329007,1.1342511064595817,1.089156707619627,1.1091017023490397,1.032352667768662,1.0563299111595847,
