,e24-HeLa-GFP-SNAP_c07_run36_T1P1R2_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R3_uncorrupted_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c04_run33_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c02_run30_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R1_CH1_BIN1.0
510,14467.0,14181.0,21686.0,15178.0,14235
511,14574.0,14164.0,21737.0,15276.0,14056
512,14398.0,14589.0,21625.0,15509.0,14216
513,14220.0,14803.0,21494.0,15084.0,14173
514,14501.0,14686.0,21509.0,15034.0,14492
515,14906.0,14598.0,21527.0,15018.0,14259
516,14621.0,14617.0,21697.0,15185.0,14177
517,14800.0,14635.0,21399.0,14959.0,14292
518,14292.0,14613.0,21477.0,14885.0,14207
519,14242.0,14533.0,21490.0,15386.0,14329
520,14563.0,14375.0,21584.0,14968.0,14317
521,14605.0,14368.0,21572.0,15138.0,14909
522,14538.0,14793.0,21932.0,15333.0,14622
523,14779.0,14488.0,21857.0,15388.0,14050
524,14670.0,14383.0,21531.0,15307.0,14288
