To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,212,T1  P1  R1,HyD 2,1,0.0000403822290339505,0.00182506265466833,680.280820487612,1,5,0.283842516443061,40,765.092046122146,1270.46512075798,40.0057029811259,0.329940070001714,1.64970035000857,0.457572588528262,1
,213,T1  P1  R1,HyD 2,1,0.0000905269457375597,0.00189872982353332,1019.48812551053,1,5,0.263294838416832,40,714.896408696578,1187.1133111468,26.6948792900903,0.329940070001714,1.64970035000857,0.742088082446871,1
,214,T1  P1  R1,HyD 2,1,0.0000329872081079853,0.00181562518886076,787.444091291272,1,5,0.219079598917707,40,705.288872749925,1171.15962377217,34.5613266378772,0.329940070001714,1.64970035000857,0.530990989308218,1
,215,T1  P1  R1,HyD 2,1,0.0000284331363256268,0.00161464586421261,758.678980717237,1,5,0.0985920771691459,40,687.070567143797,1140.90741823794,35.8717100906835,0.329940070001714,1.64970035000857,0.664196623678011,1
,216,T1  P1  R1,HyD 2,1,0.00000194485415526595,0.00192720701705656,660.308619804046,1,5,0.24806549425457,40,690.067568290772,1145.88405528887,41.2157461404341,0.329940070001714,1.64970035000857,0.499519155791958,1
,217,T1  P1  R1,HyD 2,1,-0.00000521614273311846,0.00155644108748209,879.263171041008,1,5,0.0665810468636325,40,688.320490265508,1142.98296422983,30.9521805808863,0.329940070001714,1.64970035000857,0.744046058385958,1
,218,T1  P1  R1,HyD 2,1,0.0000132277469508601,0.00189250412690748,881.81527768188,1,5,0.302234992527491,40,757.275626152022,1257.48565117445,30.8626002939382,0.329940070001714,1.64970035000857,0.582099997253869,1
,219,T1  P1  R1,HyD 2,1,0.0000158615120139977,0.00171838799044684,891.997852987552,1,5,0.115828311955687,40,658.176189336145,1092.92717928932,30.510289186272,0.329940070001714,1.64970035000857,0.43274766212686,1
,220,T1  P1  R1,HyD 2,1,0.0000424005243914419,0.00170340030262047,890.526223294015,1,5,0.212862066103536,40,745.817273184509,1238.45861010097,30.5607086420393,0.329940070001714,1.64970035000857,0.840237282422225,1
,221,T1  P1  R2,HyD 2,1,0.0000442138278092993,0.00192084201529974,731.747669881328,1,5,0.303100023784963,40,747.029760308225,1240.47199216115,37.191935920476,0.329940070001714,1.64970035000857,0.58923402048223,1
,222,T1  P1  R2,HyD 2,1,0.00000686294842329055,0.00174926235582267,564.886158798501,1,5,0.146031840986836,40,669.427226728693,1111.60996478164,48.1780479558392,0.329940070001714,1.64970035000857,0.742417352730893,1
,223,T1  P1  R2,HyD 2,1,-0.00000706771927355234,0.00171613396002565,917.587092899698,1,5,0.256415096274822,40,783.642985210322,1301.26967713559,29.6594325037644,0.329940070001714,1.64970035000857,0.669153187169011,1
,224,T1  P1  R2,HyD 2,1,0.0001987611486617,0.00163392137457161,554.887780030398,1,5,0.0694158521425497,40,657.677819976432,1092.09961757047,49.0461556869987,0.329940070001714,1.64970035000857,0.570224161806575,1
,225,T1  P1  R2,HyD 2,1,0.00037264939747553,0.00141992620808698,526.264500396547,1,5,0.0440559695808828,40,736.718811430959,1223.35026023768,51.7137531178277,0.329940070001714,1.64970035000857,0.541937397541059,1
,226,T1  P1  R2,HyD 2,1,0.0000208053775512924,0.00176568310946997,958.186809791057,1,5,0.140030450818778,40,658.573367387308,1093.58670890186,28.4027208161199,0.329940070001714,1.64970035000857,0.605775811836445,1
,227,T1  P1  R2,HyD 2,1,-0.00000016891385659947,0.00136855031292156,839.328905731317,1,5,0.156929038657913,40,866.712581431458,1439.20997481522,32.4248483071975,0.329940070001714,1.64970035000857,0.621766715220689,1
,228,T1  P1  R2,HyD 2,1,0.0000243643449206487,0.00141510401967395,494.385190566618,1,5,0.0345663935144742,40,731.963159299671,1215.45331477879,55.0483974186051,0.329940070001714,1.64970035000857,0.544235575306222,1
,229,T1  P1  R2,HyD 2,1,0.0000398327185138121,0.00188878525102235,928.255765945865,1,5,0.263883062843435,40,719.23465806414,1194.31714307078,29.3185493121636,0.329940070001714,1.64970035000857,0.433695735482051,1
,230,T1  P1  R2,HyD 2,1,-0.0000138810311687382,0.00182866238986953,757.710334321033,1,5,0.180522781882294,40,667.312995726414,1108.0992019143,35.9175679879975,0.329940070001714,1.64970035000857,0.578534685356502,1
,231,T1  P1  R3,HyD 2,1,0.0000657606498713541,0.00168550830634626,699.476327080233,1,5,0.132889568492897,40,684.218310101359,1136.17113440618,38.9078391856174,0.329940070001714,1.64970035000857,0.576000513264151,1
,232,T1  P1  R3,HyD 2,1,-0.0000229472334594087,0.00151812747503255,612.393987024033,1,5,0.0424393035349189,40,687.900219252753,1142.28508785577,44.4405285238634,0.329940070001714,1.64970035000857,0.6155201076926,1
,233,T1  P1  R3,HyD 2,1,-0.0000010396346349852,0.00155479241109698,844.73882063039,1,5,0.159804249702098,40,765.503370562232,1271.14814099991,32.217191614178,0.329940070001714,1.64970035000857,0.599550367408331,1
,234,T1  P1  R3,HyD 2,1,-0.00000880314992448237,0.00163359725158597,755.278246764356,1,5,0.220765137715814,40,785.573150593625,1304.4747918786,36.0332269130942,0.329940070001714,1.64970035000857,0.672277024983891,1
,235,T1  P1  R3,HyD 2,1,0.0000261195675176318,0.00173809841152645,674.916193298656,1,5,0.177232469789746,40,699.275790747893,1161.17466707244,40.3236916203922,0.329940070001714,1.64970035000857,0.491849282772259,1
,236,T1  P1  R3,HyD 2,1,0.0000106286790189125,0.00168424695667222,856.250187404159,1,5,0.252125623314198,40,793.899584827651,1318.30115999761,31.7840659757289,0.329940070001714,1.64970035000857,0.541350471403349,1
