To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,25,T1  P1  R3,HyD 2,1,0.0000152874031650594,0.000110007979725021,905.263093481791,1,5,0.145903243855556,40,10643.114602583,17673.3060385951,30.0632077504786,0.329940070001714,1.64970035000857,0.0112396583643959,1
,26,T1  P1  R3,HyD 2,1,0.0000100318879082991,0.000109866448978139,864.225871085181,1,5,0.168217583668272,40,10942.7172339495,18170.8078688229,31.4907402783613,0.329940070001714,1.64970035000857,0.00488616114778297,1
,27,T1  P1  R3,HyD 2,1,0.0000136009078748817,0.000114593288045771,873.401309206796,1,5,0.17068258828046,40,10522.5266782855,17473.0650968927,31.1599171667148,0.329940070001714,1.64970035000857,0.00488630204830339,1
,28,T1  P1  R1,HyD 2,1,0.0000457242887068567,0.000436581129281878,618.14311837578,1,5,0.152979341196901,40,2704.21387774833,4490.45239479649,44.0272028259311,0.329940070001714,1.64970035000857,0.162415680836642,1
,29,T1  P1  R1,HyD 2,1,0.0000327841340831662,0.000392863009397555,544.375245002554,1,5,0.0610973646889188,40,2711.05484103326,4501.81208058847,49.9932954299866,0.329940070001714,1.64970035000857,0.0797261991607852,1
,30,T1  P1  R1,HyD 2,1,0.0000479367249579959,0.000416043469822443,615.696346642134,1,5,0.11272249069633,40,2708.95516402483,4498.32548519437,44.2021665332416,0.329940070001714,1.64970035000857,0.113575904703273,1
,31,T1  P1  R2,HyD 2,1,0.0000262044844728157,0.000466620558781655,770.222030475733,1,5,0.190373467371395,40,2646.9845012366,4395.42078767235,35.3341132444295,0.329940070001714,1.64970035000857,0.12731860690742,1
,32,T1  P1  R2,HyD 2,1,0.0000159979917366808,0.000408273737146146,521.262449789223,1,5,0.0818799891453479,40,2667.77441211158,4429.94324384505,52.2099998938896,0.329940070001714,1.64970035000857,0.149152618399209,1
,33,T1  P1  R2,HyD 2,1,0.0000372786427918637,0.000396089984435674,568.524179521182,1,5,0,40,2524.67883383808,4192.32746669429,47.8697537035362,0.329940070001714,1.64970035000857,0.0784840715441261,1
,34,T1  P1  R3,HyD 2,1,0.0000268504430117103,0.000422104994639671,779.247365047244,1,5,0.111641766646337,40,2666.80571514086,4428.33468482248,34.9248693918061,0.329940070001714,1.64970035000857,0.155966213747422,1
,35,T1  P1  R3,HyD 2,1,0.0000256502601461461,0.000406886946851445,548.048522830898,1,5,0.0356611443958476,40,2548.5700576097,4231.99977363816,49.6582169542336,0.329940070001714,1.64970035000857,0.105850793809798,1
,36,T1  P1  R3,HyD 2,1,0.000017877761144097,0.000460577012246451,736.286212645768,1,5,0.183161555817608,40,2658.04036800136,4413.77948474098,36.9626810617427,0.329940070001714,1.64970035000857,0.163016853806982,1
,37,T1  P1  R1,HyD 2,1,0.000337298276807032,0.000547165623947572,685.590445719718,1,5,0.0892654127476069,40,2006.73194881339,3332.25650508342,39.6958747282631,0.329940070001714,1.64970035000857,0.287274067294328,1
,38,T1  P1  R1,HyD 2,1,0.0000637064561044743,0.000578005538615623,767.491744295479,1,5,0.118121640227808,40,1961.82070770179,3257.67964122574,35.4598113275684,0.329940070001714,1.64970035000857,0.140175090561411,1
,39,T1  P1  R1,HyD 2,1,0.0000773206133832624,0.000576267236924016,783.061983044086,1,5,0.231499078995629,40,2258.04024857332,3749.5637180132,34.7547359436191,0.329940070001714,1.64970035000857,0.225576688339202,1
,40,T1  P1  R2,HyD 2,1,0.000323299133582285,0.000524877789502898,697.184745542066,1,5,0.124393075659532,40,2175.86835957117,3613.11409811039,39.0357256411628,0.329940070001714,1.64970035000857,0.191521269809776,1
,41,T1  P1  R2,HyD 2,1,0.0000845033347616453,0.000592698011823879,714.089081634077,1,5,0.124894684682964,40,1927.99635213057,3201.5129823209,38.1116490199047,0.329940070001714,1.64970035000857,0.148805576065952,1
