,name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz),fit_with,correlator,artifact,correction,correlator-fit_with
33,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488158_T1895s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006107246129132,,0.0702368379516996,,14.23754299257718,24.50259349847516,1,,0.03952976049625,,5,,1.0,,71.8514175702351,4.85549475009889,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
34,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488159_T1907s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004815676873443,,0.0710063393742548,,14.083249591691745,24.708337701314683,1,,0.0393928458829658,,5,,1.0,,72.55493939486631,4.796242654251721,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
35,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488162_T1932s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005549807411592,,0.0691612948456215,,14.45895427828746,24.074226764431277,1,,0.0406299778219436,,5,,1.0,,73.01749387175208,4.76742681237929,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
36,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488171_T2040s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005215505977451,,0.0686857448610865,,14.559061738683187,23.76295872641084,1,,0.0382051758649459,,5,,1.0,,76.3943542885902,4.528917015556746,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
37,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488174_T2088s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006365094151393,,0.0699531667880152,,14.295278482965342,24.399468608809283,1,,0.0393856144981516,,5,,1.0,,71.94419658458227,4.848405634029728,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
38,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488179_T2148s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005672001662575,,0.0693514697538001,,14.419305078176874,24.185109084134105,1,,0.0399622886481382,,5,,1.0,,72.8903451891434,4.784583082257002,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
39,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488180_T2147s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0003155292264394,,0.0678221035669717,,14.74445567752906,23.507009442439152,1,,0.0403603148689092,,5,,1.0,,76.90656140875362,4.506967853727943,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
40,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488181_T2159s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006015774258875,,0.0693971879572626,,14.409805777949336,24.00778185825766,1,,0.0388649105833246,,5,,1.0,,74.10242605469513,4.668737571074785,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
41,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488183_T2197s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006443851334118,,0.0693126889401332,,14.427372755134632,24.15605808085059,1,,0.0417016750801722,,5,,1.0,,71.88674229841699,4.848263784054606,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
42,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488184_T2209s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.000492814877292,,0.0697301342501583,,14.341002075408008,24.302957530411994,1,,0.0403990968156906,,5,,1.0,,72.88971494461265,4.781829654225956,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
