Time (ms),2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,
67.108858,0.03944611710461943,0.03612212888789571,0.003564067018622774,0.004246766405760527,0.008028083239188355,0.01229321146224958,
75.497466,0.028888083412841103,0.03341975645666877,0.0006374081436046897,0.0033399526258592,0.0005496259961419447,0.010374311882962648,
83.886074,0.021769656427074402,0.031223115716088642,-0.0003687803206696705,0.002617615397111341,-0.003477555456729675,0.008825819170699193,
92.274682,0.01620147834920993,0.029404591778891737,0.0012256921391922138,0.0020302187316366713,0.0036264103755705435,0.00755202357032033,
100.66329,0.015627420702085892,0.027876007150383193,-0.0013472753720400465,0.0015443256304233251,0.013652843176879648,0.00648738705915529,
117.440506,0.018141469253974307,0.02545404577670994,-0.0010902414915643366,0.0007901788447814222,0.01670788171860793,0.004812787800900505,
134.217722,0.02470276679490846,0.023626693815672603,-0.0030059271484808026,0.00023502075078583266,0.008057110384094734,0.0035602353835934514,
150.994938,0.029402571592408222,0.0222033295610599,-0.0004969967389995,-0.00018835290131206375,0.0007120132372886445,0.0025918499635381245,
167.772154,0.022592128141508017,0.021066425673222287,0.002884580984453322,-0.0005203261836439739,0.00020346199008902666,0.0018234035018683988,
184.54937,0.015700076551727893,0.020139659496842176,0.0029227651731937865,-0.0007865479995707433,0.00281334680433476,0.001200626984871409,
201.326586,0.009919027861317042,0.019371363669609003,0.00369502407495359,-0.0010040434539357304,0.0026235519061845736,0.0006870348598796401,
234.881018,0.0023336529350745927,0.01817554203848766,-0.0017021944969141112,-0.0013363099990411815,0.0013032185746455482,-0.00010698959132513473,
268.43545,0.006092051928791031,0.01729228820117997,-0.00372975345828086,-0.0015763869367403326,0.007023732235885927,-0.0006887911429797164,
301.989882,0.007207092094631662,0.01661676763451359,-0.007540064588005602,-0.001756630660259365,0.0012181556530732607,-0.0011307335881444308,
335.544314,0.008444734913653607,0.016085763206874625,-0.00940813284021036,-0.0018960882180451659,0.003991056096725121,-0.001476087905765549,
369.098746,0.0032647128261906744,0.015659000822405733,-0.009616611079192983,-0.0020066422152747575,0.012187485238618567,-0.0017522181136808619,
402.653178,0.006528240754892556,0.015309674352464126,-0.0057518039947136446,-0.0020960567969634464,0.012722629463905344,-0.0019772181928261537,
469.762042,0.018919547803334602,0.014774711499238882,-0.003572259395161703,-0.0022309632354257725,-0.0007878829559569978,-0.0023198248328379725,
536.870906,0.02183514413131582,0.014387083563218182,-0.00402648845137632,-0.002327059389331003,-0.003984861729706468,-0.0025664370309823326,
603.97977,0.021333551958365726,0.014095381159478396,-0.006193449929713157,-0.002398375974127823,-0.004778500543821673,-0.0027510122276621215,
671.088634,0.021526583495116824,0.013869241792655685,-0.0031988884880057578,-0.0024530284009418564,-0.00407153640251412,-0.002893450048717364,
738.197498,0.022338625114976862,0.013689670186453808,-0.0017425138632890524,-0.0024960053353298463,-0.007957858171307453,-0.003006117456326622,
805.306362,0.013973353618665918,0.013544224340900564,-0.004265476769408916,-0.0025305256565720563,-0.005409335997178744,-0.003097068401215068,
939.52409,0.016339612819436633, ,-0.0058912140699466375, ,-0.0011376904166864321, ,
1073.741818,0.025526629289830405, ,-0.006535230566141359, ,0.000900554650056451, ,
1207.959546,0.02156454524017759, ,0.00033228404183649474, ,-0.012586880681706325, ,
1342.177274,0.01911730430041536, ,-0.002045486721470424, ,-0.023238599225022916, ,
1476.395002,0.009754662477941434, ,-0.007535315919583341, ,-0.02557346205783939, ,
1610.61273,0.012909979126278337, ,-0.011164607621822475, ,-0.039572595069863103, ,
1879.048186,0.023556996357180893, ,-0.021884267312240246, ,-0.026254693826923248, ,
2147.483642,0.024924928648189182, ,-0.020078610268787767, ,-0.015679900847991757, ,
2415.919098,0.047464197258939134, ,-0.033102057965521015, ,-0.0057148331569065736, ,
2684.354554,0.018699299378777123, ,-0.03195131395245754, ,-0.006916718650542775, ,
2952.79001,0.03753269377586377, ,-0.04515960848134082, ,-0.011621175679824125, ,
3221.225466,0.05349003907284833, ,-0.05927541505448375, ,-0.011144392075512877, ,
3758.096378,0.02401855264797592, ,-0.08298057551098748, ,-0.07288991132452871, ,
4294.96729,-0.005166550654408297, ,-0.06744268110592211, ,-0.07522856436610226, ,
4831.838202,-0.06881764704941618, ,-0.06034682692980098, ,-0.05360651744902045, ,
5368.709114,-0.15256330116698147, ,-0.04850811628607876, ,-0.040161193416618834, ,
5905.580026,-0.20719171664996805, ,-0.03123617260723155, ,-0.054504096670334845, ,
6442.450938,-0.23176662502425927, ,0.003240970271368493, ,-0.08952803705727297, ,
