name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48858_T686s_1_correlation-CH2_2,Not known,shift_20 nM AF48858_T686s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.16349035574169463,,0.12984869911735308,,7.701270839041923,43.98645144001147,1,,0.06490820125359194,,0.5530608584884193,,70.7397679250568,4.78894026124565
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48858_T688s_1_correlation-CH2_2,Not known,shift_20 nM AF48858_T688s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.16747792410502624,,0.10192435069830534,,9.811198140079265,35.32630276803359,1,,0.03887569538863843,,0.7080772237530267,,73.58564860784806,4.71030293964213
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48859_T698s_1_correlation-CH2_2,Not known,shift_20 nM AF48859_T698s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.10471674513233614,,0.09969486289059186,,10.030607104574988,33.72478500195008,1,,0.04375623306869045,,0.693634083477622,,71.05414463747876,4.76111555168928
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48859_T700s_1_correlation-CH2_2,Not known,shift_20 nM AF48859_T700s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.23234186542401392,,0.12651012424204383,,7.90450571439455,43.94697177739723,1,,0.05163613177736944,,0.5801947642981119,,74.04789448694878,4.691510413151066
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48860_T712s_1_correlation-CH2_2,Not known,shift_20 nM AF48860_T712s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.16575483011641648,,0.1334611584816509,,7.492816721934018,46.25766423532469,1,,0.04907498260086521,,0.5,,74.32555282399679,4.663504359901601
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48863_T748s_1_correlation-CH2_2,Not known,shift_20 nM AF48863_T748s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.17113827737519563,,0.13615589132874897,,7.3445224458594724,47.26417121631784,1,,0.05761627719232905,,0.5291088823032845,,74.5056495670029,4.659379987831971
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48866_T782s_1_correlation-CH2_2,Not known,shift_20 nM AF48866_T782s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.1303646835910867,,0.11521473003622967,,8.679445759110372,39.623723164235706,1,,0.04943313995631783,,0.5892569499289295,,71.82290451168474,4.788572160606761
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48866_T785s_1_correlation-CH2_2,Not known,shift_20 nM AF48866_T785s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.16430594716418304,,0.12950568643749616,,7.7216686580216995,45.000420836318185,1,,0.060138107021327686,,0.568579016520345,,74.47875114027391,4.665702865948702
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48869_T821s_1_correlation-CH2_2,Not known,shift_20 nM AF48869_T821s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.12323189830021322,,0.10458569337537889,,9.56153722106905,36.26691772717899,1,,0.03984190742075072,,0.6366887172039666,,72.658980547722,4.77277315265448
2022-01-21_tttr2xfcs_CH2_BIN1_shift_20 nM AF48872_T855s_1_correlation-CH2_2,Not known,shift_20 nM AF48872_T855s_1,,24 January 2022 22:32:22,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.30497350047869587,,0.15460657153034363,,6.468030369612953,53.41659366632075,1,,0.05999025159675401,,0.5,,74.91922439333236,4.611866144996748
