Time (ms),2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2 fitted model: ,
0.08,0.048755581004646636,0.0502898733600946,0.04857579962291094,0.05065617805389861,0.04833869424101828,0.049496736402564974,
0.088,0.047842626070566295,0.04894536725462849,0.04775520102393114,0.04934816519487647,0.04694733228960307,0.04819108989221534,
0.096,0.046746126237179504,0.04766986611803917,0.04659805568025072,0.04810512066362031,0.04625180346432476,0.04695159395671785,
0.10400000000000001,0.045356023252409096,0.0464581957159977,0.045544511218902656,0.04692232600730741,0.04462132471927704,0.04577335043373044,
0.112,0.044638589252325285,0.04530568648518923,0.044851323599915706,0.045795508868534174,0.04426499617676609,0.04465193307401679,
0.12,0.04361514648327269,0.044208113468950365,0.04385208876234466,0.04472079148385986,0.042718390255425676,0.04358333204523176,
0.128,0.0428457005599318,0.04316164463186468,0.04320050586075495,0.04369464615629746,0.041506828351994235,0.04256390608726137,
0.14400000000000002,0.04097197164801393,0.04120839407536857,0.04096902318340284,0.041775484436036195,0.040276329982483365,0.04065961428372959,
0.16,0.03930516704278624,0.03942158234318942,0.03988313602686411,0.0400154548109683,0.03881917334815605,0.03891585595737466,
0.176,0.037571290215864604,0.03778083201282483,0.03794521817929153,0.03839557724196566,0.037298596686465985,0.03731317785564946,
0.192,0.036604752524739374,0.0362689614559095,0.036628622651410335,0.03689977445960423,0.03599635239410579,0.03583514757292541,
0.20800000000000002,0.035205522468965925,0.03487138198149881,0.03552056099751556,0.03551433747269223,0.03449096533442653,0.03446778909171939,
0.224,0.03384113840876505,0.033575626485767736,0.03421069678519068,0.03422750498214198,0.03340881915386582,0.03319914033037317,
0.24,0.03314529640811841,0.032370977314455235,0.03356917620888022,0.03302912935150188,0.03241240363305316,0.032018903000356286,
0.256,0.032076024137767646,0.031248169800378738,0.03217355278131042,0.03191040904107904,0.030957573910040257,0.030918163059703782,
0.28800000000000003,0.029906805223404175,0.029216902450897198,0.030341422361990042,0.029882202803389504,0.029495983524137046,0.02892513282351338,
0.32,0.028215577501073723,0.02742877511053392,0.028996305866250703,0.028092128233344043,0.027991284359098038,0.027168863847719167,
0.352,0.02722831386624023,0.025842691569498942,0.02742164436730708,0.026500658798130777,0.02644209550538956,0.025609621853006678,
0.384,0.025545259132859596,0.024426321694599733,0.02624961997858926,0.02507655577499308,0.025350026441106642,0.024216091249684726,
0.41600000000000004,0.024327144457783414,0.023153882470699418,0.024934811143596722,0.023794804268261947,0.023877978993432206,0.022963257693813518,
0.448,0.023262780395244435,0.022004560584917527,0.024120045682482404,0.022635136774441855,0.022880601167203553,0.02183089912179384,
0.48,0.022423073735405277,0.020961370105809517,0.022911850312885177,0.021580958002415232,0.021842960867484086,0.020802490589463898,
0.512,0.021268317002571334,0.020010311398116043,0.021872970140894298,0.020618549236455563,0.02097024801503961,0.019864396311351368,
0.5760000000000001,0.01966983123026585,0.018339902865558512,0.020201662721207974,0.018925108467638715,0.019273436644964375,0.018215569359108265,
0.64,0.018376419517278007,0.0169206665561698,0.019091056083583628,0.017483173907526937,0.017959846812614342,0.01681347039144702,
0.704,0.016919535358675592,0.015700154233198173,0.017850768442871836,0.01624081655315068,0.01678989105257685,0.015606806322783265,
0.768,0.015737586369381013,0.0146395627038339,0.01690449674444128,0.015159476150285322,0.015660047872929368,0.014557573786468556,
0.8320000000000001,0.014710522576673053,0.01370956768763391,0.015697033063185272,0.014209919476164104,0.014773786138797363,0.013637017128773066,
0.896,0.013992281275163925,0.012887596239419591,0.014842559003775728,0.013369581304085283,0.013871065828278505,0.012822977027630265,
0.96,0.012966021522406746,0.012155989746204904,0.01423675354136613,0.012620765962939148,0.012891247030242747,0.012098101832973695,
1.024,0.012419782410586108,0.011500735764767494,0.013490055025401989,0.011949401170774249,0.012414403336795703,0.011448610972961844,
1.1520000000000001,0.01124732957319557,0.010376349120772968,0.012407189324830195,0.010795804068809485,0.011241942188534016,0.010333518275006746,
1.28,0.010138432422376442,0.009446936965753267,0.01133404285239048,0.0098407176976917,0.010563147023949074,0.009411207267486423,
1.408,0.009458893254282456,0.008666287333845533,0.010421695948816825,0.009037400527064036,0.009581566954715449,0.008636103295368713,
1.536,0.008728862956032096,0.008001699196808326,0.00969508256702691,0.008352695506902007,0.009002187059181438,0.007975925247327436,
1.6640000000000001,0.00821566812284053,0.007429382693994587,0.009204495040108207,0.0077624307376458965,0.00843827488380994,0.007407169563645219,
1.792,0.007776295194025203,0.0069316186081587235,0.008455598543580864,0.007248570159439367,0.007924052883994198,0.006912317964880576,
1.92,0.0072337949809516385,0.0064949391512282755,0.007817480356507514,0.0067973837474357935,0.007270134522543812,0.006478047236821497,
2.048,0.007120637870229055,0.006108925878032423,0.0071669236370780634,0.006398235588071074,0.007083110224717148,0.006094045218447426,
2.3040000000000003,0.006322958540901303,0.005457822843292535,0.00647609788841279,0.005724284278183054,0.006484186912186819,0.0054460717760776624,
2.56,0.005629714930754235,0.004930512452734649,0.006012252650786038,0.005177793278388909,0.005839260397316691,0.004921039476718557,
2.816,0.005137152390713131,0.004495372640299237,0.00546125473675628,0.004726335667493371,0.004954816242231319,0.004487593853668835,
3.072,0.0047669234911266335,0.004130655502599561,0.004884842035674319,0.004347575439305465,0.004753891178692222,0.004124157927431712,
3.3280000000000003,0.004219708849916398,0.0038209178668852377,0.004253920679942222,0.004025630781077682,0.004637707291076805,0.0038154019213977254,
3.584,0.004259210050452867,0.0035548951035928884,0.0038505907370075987,0.0037489037259120055,0.004633540303809816,0.003550138843890739,
3.84,0.0042495397855613695,0.003324180469816285,0.003734679783766101,0.003508729913907615,0.004217154371230902,0.0033200165362852595,
4.096,0.003842851718656843,0.0031223751638126897,0.0036954356577310445,0.0032985084119020363,0.004031471261618738,0.0031186754501161935,
4.6080000000000005,0.003498447619172637,0.002786733162117708,0.003236383214988868,0.0029485512260093057,0.003411294820394882,0.0027836853818701724,
5.12,0.003409564828146154,0.0025195182459918537,0.0031862373793334117,0.002669629450839094,0.0031453858991897185,0.002516872155666299,
5.632,0.003246151677583584,0.0023023277079797172,0.0030539520017135633,0.0024426991888079922,0.0029153649208259634,0.002299923234217921,
6.144,0.002826372563346433,0.0021227467893023405,0.0027810872535341704,0.002254898062306887,0.0028102867419976846,0.002120478970659377,
6.656000000000001,0.002449625810981638,0.0019721069309505527,0.002613805766250196,0.002097235573186463,0.002914860026674177,0.001969905722044065,
7.168,0.002092647471303356,0.0018441790003018432,0.0020456267855059915,0.0019632451320863043,0.0028560471792696313,0.0018419971244818347,
7.68,0.001564507224397027,0.001734376549084554,0.00200787451465529,0.0018481613287529655,0.0023851841917561212,0.0017321819282481274,
8.192,0.0015707021011359054,0.0016392513208964947,0.0018979129792723074,0.0017483984911590815,0.001890172717755162,0.0016370222162584735,
9.216000000000001,0.0017813889949862673,0.0014830589799933642,0.002022190889978449,0.0015844555126813308,0.0018636449113387957,0.0014807221088530406,
10.24,0.0013788348994127149,0.0013606468280660494,0.0017262903308847475,0.0014558396093295603,0.0016438009274152765,0.0013581768373799876,
