,TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_CH2_BIN1.0
990,5.0,8.0,7
991,5.0,9.0,16
992,9.0,15.0,12
993,7.0,23.0,10
994,8.0,10.0,32
995,8.0,9.0,31
996,10.0,21.0,40
997,15.0,14.0,23
998,10.0,17.0,7
999,15.0,25.0,8
1000,21.0,37.0,17
1001,10.0,12.0,26
1002,6.0,7.0,53
1003,17.0,13.0,19
1004,24.0,7.0,27
1005,42.0,19.0,60
1006,27.0,14.0,21
1007,19.0,19.0,19
1008,16.0,34.0,16
1009,20.0,21.0,12
1010,9.0,17.0,22
1011,11.0,13.0,13
1012,14.0,10.0,18
1013,9.0,15.0,14
1014,22.0,13.0,9
1015,7.0,15.0,40
1016,24.0,12.0,9
1017,22.0,12.0,8
1018,13.0,18.0,7
1019,25.0,52.0,15
1020,35.0,33.0,12
1021,37.0,13.0,17
1022,28.0,11.0,5
1023,21.0,21.0,7
1024,17.0,44.0,7
1025,17.0,13.0,10
1026,13.0,22.0,6
1027,16.0,16.0,2
1028,20.0,8.0,10
1029,13.0,5.0,6
1030,19.0,12.0,7
1031,73.0,12.0,6
1032,17.0,22.0,7
1033,9.0,14.0,5
1034,18.0,13.0,5
1035,15.0,16.0,6
1036,9.0,7.0,7
1037,12.0,11.0,4
1038,10.0,17.0,12
1039,11.0,22.0,10
1040,8.0,15.0,9
1041,11.0,8.0,4
1042,12.0,22.0,8
1043,14.0,14.0,6
1044,6.0,11.0,15
1045,14.0,15.0,3
1046,8.0,10.0,22
1047,8.0,10.0,10
1048,8.0,27.0,17
1049,5.0,15.0,6
1050,16.0,7.0,9
1051,7.0,21.0,6
1052,6.0,20.0,8
1053,5.0,17.0,7
1054,13.0,11.0,9
1055,15.0,18.0,44
1056,14.0,43.0,19
1057,14.0,31.0,9
1058,6.0,16.0,10
1059,29.0,19.0,8
1060,15.0,40.0,14
1061,13.0,17.0,10
1062,11.0,25.0,7
1063,26.0,25.0,7
1064,14.0,8.0,20
1065,14.0,13.0,17
1066,5.0,9.0,22
1067,8.0,15.0,14
1068,6.0,14.0,6
1069,8.0,9.0,11
1070,10.0,11.0,5
1071,9.0,14.0,25
1072,5.0,69.0,8
1073,6.0,20.0,8
1074,9.0,16.0,10
1075,8.0,6.0,9
1076,13.0,16.0,8
1077,25.0,8.0,8
1078,18.0,8.0,8
1079,9.0,7.0,11
1080,8.0,9.0,6
1081,5.0,9.0,9
1082,6.0,26.0,7
1083,14.0,7.0,15
1084,9.0,8.0,9
1085,13.0,9.0,7
1086,19.0,23.0,9
1087,4.0,14.0,14
1088,5.0,8.0,5
1089,5.0,6.0,8
1090,10.0,16.0,6
1091,7.0,12.0,3
1092,12.0,26.0,14
1093,7.0,17.0,32
1094,8.0,9.0,21
1095,8.0,13.0,40
1096,51.0,12.0,11
1097,15.0,5.0,6
1098,14.0,12.0,10
1099,28.0,16.0,5
1100,12.0,14.0,5
1101,17.0,6.0,14
1102,6.0,6.0,13
1103,10.0,5.0,12
1104,8.0,10.0,11
1105,5.0,6.0,7
1106,13.0,8.0,18
1107,22.0,14.0,17
1108,19.0,7.0,9
1109,24.0,17.0,14
1110,10.0,15.0,21
1111,21.0,13.0,17
1112,59.0,22.0,12
1113,14.0,17.0,39
1114,21.0,20.0,16
