,DiO LUV 10uM in 20 nM AF48889_T1067s_1_CH2_BIN1.0_PREPRO,DiO LUV 10uM in 20 nM AF4885_T51s_1_CH2_BIN1.0_PREPRO,DiO LUV 10uM in 20 nM AF48899_T1187s_1_CH2_BIN1.0_PREPRO
486,0.016632669,0.049616177,0.033053372
487,0.016946493,0.032390937,0.054727715
488,0.028714892,0.044560943,0.028718505
489,0.026047388,0.033701554,0.028989434
490,0.016632669,0.040441863,0.043077756
491,0.009885455,0.03070586,0.0070441617
492,0.022909148,0.025276165,0.04118125
493,0.024321355,0.026774012,0.032511514
494,0.027145771,0.03332709,0.0222162
495,0.04707359,0.030144168,0.04172311
496,0.041424762,0.042688634,0.03061501
497,0.037345048,0.044748176,0.04632891
498,0.035462108,0.060475565,0.04497426
499,0.044249177,0.053922486,0.039284747
500,0.033736072,0.03725894,0.056624223
501,0.033579163,0.04643325,0.036033597
502,0.024635179,0.03931848,0.039284747
503,0.017887965,0.040067405,0.0444324
504,0.028244155,0.053173564,0.023570849
505,0.032951515,0.03931848,0.043348685
506,0.031382393,0.059726644,0.047141697
507,0.030597834,0.041378018,0.051205635
508,0.029970186,0.055794794,0.033053372
509,0.022595324,0.0655308,0.027905717
510,0.030127099,0.05410972,0.04632891
511,0.028244155,0.031080322,0.020319697
512,0.02541974,0.04568433,0.048767272
513,0.020712381,0.03070586,0.043077756
514,0.031853132,0.050926793,0.032782443
515,0.0262043,0.03744617,0.040368464
516,0.021653851,0.04886725,0.03820103
517,0.015691197,0.046807714,0.022758061
518,0.0222815,0.04830556,0.039826605
519,0.018829437,0.03445048,0.012191818
520,0.020084733,0.056169257,0.025196424
521,0.018829437,0.064781874,0.02329992
522,0.037345048,0.061037257,0.05283121
523,0.022595324,0.04886725,0.040639393
524,0.017887965,0.04830556,0.027092928
525,0.015063549,0.0327654,0.03874289
526,0.021967676,0.032203708,0.047954485
527,0.009257806,0.0327654,0.054456785
528,0.01977091,0.04119079,0.04958006
529,0.016475758,0.042126942,0.031698726
530,0.02385062,0.05654372,0.046870768
531,0.023222972,0.054296948,0.017068544
532,0.026047388,0.041939713,0.022758061
533,0.012552958,0.05298633,0.05012192
534,0.030597834,0.04811833,0.029802222
535,0.03577593,0.06702865,0.031969655
536,0.016789582,0.07320727,0.05716608
537,0.03263769,0.060475565,0.045516122
538,0.028871803,0.09604943,0.0333243
539,0.02934254,0.09211758,0.04497426
540,0.03436372,0.097360045,0.04145218
541,0.04801506,0.08200712,0.028176647
542,0.12082222,0.0879985,0.021945272
543,0.04597521,0.09267928,0.02628014
544,0.043464616,0.094926044,0.05770794
545,0.03985564,0.0679648,0.032782443
546,0.045190647,0.06590526,0.05797887
547,0.03436372,0.072645575,0.034678947
548,0.039698727,0.061598953,0.06068816
549,0.045661382,0.059726644,0.048767272
550,0.034677546,0.0703988,0.047141697
551,0.040012553,0.07807527,0.056082364
552,0.04691668,0.07433065,0.08344622
553,0.041424762,0.04755664,0.058249798
554,0.041110937,0.038382325,0.0333243
555,0.028871803,0.03950571,0.031698726
556,0.03201004,0.05298633,0.050663777
557,0.02149694,0.035386633,0.034408018
558,0.035619017,0.05542033,0.051476564
559,0.03201004,0.055982027,0.059604444
560,0.041738585,0.042126942,0.042535897
561,0.032323867,0.04343756,0.032240584
562,0.018201789,0.03295263,0.03874289
563,0.021340027,0.030144168,0.047141697
564,0.03514828,0.03070586,0.029531293
565,0.023693709,0.025650628,0.05012192
566,0.04220932,0.032203708,0.04226497
567,0.032794602,0.03576109,0.025738282
568,0.036246665,0.02190601,0.018694121
569,0.037031226,0.019472009,0.025738282
570,0.03248078,0.0351994,0.03413709
571,0.026518123,0.029582474,0.045516122
572,0.028871803,0.030144168,0.03549174
573,0.021653851,0.04231417,0.030885939
574,0.026047388,0.0503651,0.05012192
575,0.036874313,0.020220932,0.04985099
576,0.023693709,0.01104662,0.029531293
577,0.026831947,0.02415278,0.031427797
578,0.03420681,0.013293391,0.028176647
579,0.020712381,0.045497097,0.028447576
580,0.023222972,0.03950571,0.025738282
581,0.02541974,0.036322787,0.016797615
582,0.03342225,0.017038008,0.039284747
583,0.014278989,0.034824938,0.04226497
584,0.017887965,0.035948325,0.031969655
585,0.026831947,0.03725894,0.036846384
586,0.023693709,0.027710166,0.03549174
587,0.026518123,0.0351994,0.02329992
588,0.016789582,0.029956937,0.039013818
589,0.02793033,0.02864632,0.020048767
590,0.029028716,0.022467703,0.03874289
591,0.040954024,0.031454783,0.03386616
592,0.035462108,0.011608313,0.035762668
593,0.03436372,0.031454783,0.047141697
594,0.033736072,0.047931097,0.024925495
595,0.037031226,0.04886725,0.03820103
596,0.03499137,0.03445048,0.060146302
597,0.022752237,0.026586782,0.04470333
598,0.031539306,0.04381202,0.0490382
599,0.017887965,0.0327654,0.037117314
600,0.015063549,0.03463771,0.032240584
601,0.018986348,0.028833551,0.03549174
602,0.023222972,0.017974162,0.043890543
603,0.014435901,0.03070586,0.034408018
604,0.031382393,0.011233851,0.036575455
605,0.02149694,0.02827186,0.03413709
606,0.012396046,0.03725894,0.04226497
607,0.02541974,0.029020783,0.035762668
608,0.035462108,0.037820634,0.050934706
609,0.03106857,0.040441863,0.030073151
610,0.041738585,0.027710166,0.059062585
611,0.033736072,0.022842165,0.050663777
612,0.0340499,0.02171878,0.047954485
613,0.025576651,0.024527242,0.034949876
614,0.018986348,0.022842165,0.05256028
615,0.030597834,0.03295263,0.036304526
616,0.023536796,0.029020783,0.0444324
617,0.014122077,0.038195096,0.040097535
618,0.01977091,0.020220932,0.040639393
619,0.020241644,0.018161394,0.029802222
620,0.032951515,0.026586782,0.043619614
621,0.04362153,0.009736004,0.043619614
622,0.04911345,0.0303314,0.051205635
623,0.039698727,0.027148474,0.040097535
624,0.033265337,0.025276165,0.031698726
625,0.035305195,0.011421083,0.062042806
626,0.103248075,0.02209324,0.023841778
627,0.113290444,0.02621232,0.04958006
628,0.08033893,0.023965549,0.05256028
629,0.07955437,0.032390937,0.060146302
630,0.05790052,0.021344317,0.06529396
631,0.051310215,0.020595394,0.06827418
632,0.037815787,0.017412469,0.081820644
633,0.036089752,0.029208014,0.051205635
634,0.07547466,0.016476315,0.0379301
635,0.06213714,0.011795544,0.027092928
636,0.07437628,0.015540161,0.056082364
637,0.07249333,0.018910317,0.048496343
638,0.05570375,0.021531548,0.062313735
639,0.053350072,0.025463397,0.043077756
640,0.055233013,0.024527242,0.059333514
641,0.04675977,0.015914623,0.051476564
642,0.04440609,0.02845909,0.043348685
643,0.03718814,0.032016475,0.04605798
644,0.028244155,0.0303314,0.058520727
645,0.03499137,0.038382325,0.0777567
646,0.028871803,0.02827186,0.089135736
647,0.013965165,0.029769706,0.054456785
648,0.024478268,0.021157086,0.047412626
649,0.031539306,0.021157086,0.05283121
650,0.02385062,0.021531548,0.08452994
651,0.022909148,0.014042314,0.06827418
652,0.029028716,0.005429695,0.07369277
653,0.016318845,0.012544467,0.050392848
654,0.031853132,0.024527242,0.05797887
655,0.055076104,0.027148474,0.03386616
656,0.03656049,0.026586782,0.031698726
657,0.0340499,0.025276165,0.032511514
658,0.036246665,0.020408163,0.044161472
659,0.034677546,0.019846471,0.036304526
660,0.0262043,0.02171878,0.054456785
661,0.021810764,0.051114023,0.018694121
662,0.024635179,0.02209324,0.036846384
663,0.030127099,0.020033702,0.037388243
664,0.03201004,0.02377832,0.04985099
665,0.030754747,0.030144168,0.030073151
666,0.02385062,0.033888783,0.0056895153
667,0.031225482,0.012170006,0.039826605
668,0.032323867,0.012731698,0.033053372
669,0.03812961,0.012731698,0.043619614
670,0.038600344,0.022842165,0.034408018
671,0.033736072,0.025088934,0.04199404
672,0.024635179,0.02621232,0.018152263
