Time (ms),hs-pex5_noc,hs-pex5_noc fitted model: ,tb-pex5_noc,tb-pex5_noc fitted model: ,tb-pex5_0cd20,tb-pex5_0cd20 fitted model: ,tb-pex5_thr-7,tb-pex5_thr-7 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.01433,0.8136396684411236,0.8307125285147728,1.0862871780783612,1.1044600775937612,0.8541655000480063,0.8729826272112645,0.8492268594642315,0.8660675336147818,
0.016378,0.8060596391807308,0.8193223047335899,1.075778330542763,1.0916210228683934,0.8450071630540257,0.8610753822249555,0.8393080093446615,0.8538779618616639,
0.018426,0.7943717128869278,0.8083934496511708,1.0671930957343045,1.0792962655229736,0.8349064287640986,0.8496382427068586,0.830759724655874,0.8421834837362361,
0.020474,0.7862020339715003,0.7979016926529955,1.0561247867152537,1.0674591630781514,0.82584177486156,0.8386465465548383,0.819726371125094,0.8309579797716969,
0.022522,0.7791755277161048,0.7878241206246345,1.046304091194133,1.0560845229437117,0.8163573696531709,0.8280770228003583,0.8111677647154971,0.8201768034769757,
0.02457,0.7694692632063307,0.7781391000539557,1.0365901093022274,1.045148522132897,0.8088115927706687,0.817907710639297,0.8023372357905381,0.8098166957415636,
0.028666,0.7525554434561208,0.7598661414980896,1.0163342522713767,1.024503544088744,0.7885154323887006,0.798687976379712,0.7828372121539967,0.7902731081799633,
0.032762,0.7366644780292866,0.7429326591620681,1.0008214997541662,1.0053582615194654,0.7729516708756011,0.7808350783193142,0.7678215492443118,0.7721659499924738,
0.036858,0.7234062035757707,0.7272046990456197,0.9844876210763746,0.9875641913187339,0.7598813014890535,0.7642132882109006,0.7537535254391721,0.7553514725563174,
0.040954,0.711814208387501,0.7125627160257707,0.970439660957027,0.9709884591789573,0.7456690966712677,0.7487015605559656,0.7391069887878016,0.7397014840799767,
0.04505,0.6997816858799837,0.6988999814081899,0.9561176632339834,0.9555121276138467,0.7339461006510997,0.7341918907908396,0.726905372519799,0.7251016124968083,
0.049146,0.6883044223727532,0.6861211697211141,0.9436596555121171,0.941028705188136,0.7209008150823626,0.7205878612053772,0.7144499153969974,0.7114497666304674,
0.057338,0.6684797349587491,0.6628836429699124,0.9210981433634976,0.9146690194534564,0.6999199876936765,0.6957614028507251,0.6931131312192048,0.686635164512797,
0.06553,0.6505133025324344,0.6422713137154608,0.9003276044517514,0.8912593421677784,0.6806392466551145,0.6736371549002355,0.673951336561395,0.664638474826881,
0.073722,0.6340413482448476,0.6238208077318593,0.8812769475762204,0.8702772996836897,0.6617245740669969,0.6537468465517786,0.6553598704228614,0.6449643182953996,
0.081914,0.6183709101197771,0.6071604243317473,0.8638205880168417,0.8513025392612693,0.6455885151810244,0.635714737317616,0.6389723371815581,0.6272154661996789,
