Time (ms),2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,
67.108858,0.008028083239188355,0.012741375499736522,0.003564067018622774,0.003967586594531497,0.03944611710461943,0.037152480027242134,
75.497466,0.0005496259961419447,0.010588770463316244,0.0006374081436046897,0.0028740251390048993,0.028888083412841103,0.03409877331722455,
83.886074,-0.003477555456729675,0.00884341410047269,-0.0003687803206696705,0.00199757418180882,0.021769656427074402,0.03160202593934436,
92.274682,0.0036264103755705435,0.00740167142239675,0.0012256921391922138,0.0012809575432440037,0.01620147834920993,0.029524548182414016,
100.66329,0.013652843176879648,0.0061921648868748375,-0.0013472753720400465,0.0006852589922038323,0.015627420702085892,0.0277704512572607,
117.440506,0.01670788171860793,0.004280559807484886,-0.0010902414915643366,-0.00024518266239624466,0.018141469253974307,0.024975273868355116,
134.217722,0.008057110384094734,0.0028425477663389116,-0.0030059271484808026,-0.0009353124358821045,0.02470276679490846,0.0228520947572749,
150.994938,0.0007120132372886445,0.0017253022000414857,-0.0004969967389995,-0.0014650333450572607,0.029402571592408222,0.021188771699939907,
167.772154,0.00020346199008902666,0.0008349013067629743,0.002884580984453322,-0.001882736862736269,0.022592128141508017,0.019853512051043756,
184.54937,0.00281334680433476,0.0001105179755689972,0.0029227651731937865,-0.0022193689700511633,0.015700076551727893,0.018760184245759058,
201.326586,0.0026235519061845736,-0.0004889277425018995,0.00369502407495359,-0.0024955967403637682,0.009919027861317042,0.017850161290286708,
