,20 nM AF48897_T1160s_1_CH2_BIN1.0_PREPRO,20 nM AF48896_T1142s_1_CH2_BIN1.0_PREPRO,20 nM AF4887_T74s_1_CH2_BIN1.0_PREPRO
259,0.29295775,0.53636366,0.27384615
260,0.23943663,0.47272727,0.5353846
261,0.2169014,0.5151515,0.60615385
262,0.2140845,0.6333333,0.6769231
263,0.32112676,0.5121212,0.25230768
264,0.25915492,0.44545454,0.51692307
265,0.1915493,0.4848485,0.36307693
266,0.16901408,0.630303,0.36923078
267,0.25915492,0.46969697,0.30153847
268,0.52394366,0.46666667,0.45846155
269,0.46760562,0.45454547,0.3876923
270,0.48732394,0.46969697,0.44615385
271,0.3971831,0.6484848,0.72615385
272,0.32112676,0.21212122,0.31384614
273,0.35211268,0.46666667,0.44615385
274,0.48732394,0.23636363,0.4276923
275,0.3971831,0.4939394,0.31692308
276,0.32957748,0.042424243,0.37846154
277,0.44788733,0.4878788,0.43076923
278,0.3746479,0.3272727,0.2676923
279,0.4,0.44242424,0.18461539
280,0.4394366,0.6666667,0.3476923
281,0.3774648,0.59090906,0.3323077
282,0.33802816,0.43636364,0.5723077
283,0.44788733,0.37272727,0.24307692
284,0.5295775,0.37272727,0.3323077
285,0.6084507,0.23939393,0.4553846
286,0.50140846,0.4181818,0.31384614
287,0.5070422,0.5,0.5723077
288,0.4028169,0.43030304,0.59384614
289,0.24507043,0.6151515,0.23692308
290,0.32394367,0.44848484,0.48923078
291,0.5859155,0.6151515,0.32
292,0.42535213,0.43030304,0.23692308
293,0.36901408,0.36969697,0.15692307
294,0.26197183,0.23636363,0.25230768
295,0.5408451,0.15757576,0.31076923
296,0.23661971,0.2090909,0.5630769
297,0.06478873,0.36363637,0.51692307
298,0.25633803,0.53939396,0.35692307
299,0.29014084,0.44848484,0.48307693
300,0.14647888,0.4878788,0.4276923
301,0.2169014,0.42727274,0.18769231
302,0.1859155,0.56060606,0.3323077
303,0.49014086,0.3242424,0.64
304,0.22535211,0.4121212,0.5476923
305,0.29859155,0.35454544,0.42461538
306,0.45915493,0.38787878,0.2830769
307,0.50140846,0.46666667,0.30153847
308,0.30140844,0.2969697,0.5630769
309,0.23661971,0.5030303,0.22153845
310,0.12676056,0.56969696,0.28
311,0.23661971,0.5060606,0.35692307
312,0.35774648,0.27575758,0.5446154
313,0.29577464,0.53939396,0.3723077
314,0.5295775,0.4090909,0.52615386
315,0.36056337,0.19090909,0.38153845
316,0.27042255,0.33333334,0.27384615
317,0.28169015,0.34545454,0.40307692
318,0.47887325,0.3212121,0.6769231
319,0.30985916,0.23636363,0.39384615
320,0.54647887,0.26969698,0.24923077
321,0.5605634,0.24848485,0.16
322,0.24507043,0.28787878,0.4553846
323,0.3830986,0.33333334,0.22153845
324,0.27605635,0.47878787,0.5661538
325,0.49859154,0.45757577,0.46153846
326,0.45352113,0.35757574,0.6246154
327,0.3887324,0.37575758,0.36307693
328,0.25633803,0.4212121,0.44615385
329,0.24788733,0.54545456,0.61230767
330,0.31830987,0.5939394,0.72923076
331,0.43661973,0.3151515,0.44923076
332,0.30422536,0.4060606,0.4276923
333,0.35211268,0.37272727,0.6769231
334,0.32394367,0.4,0.60307693
335,0.30704224,0.47878787,0.51384616
336,0.48450705,0.28484848,0.44615385
337,0.3971831,0.33636364,0.28615385
338,0.30704224,0.7060606,0.24
339,0.2140845,0.27878788,0.39076924
340,0.36056337,0.121212125,0.31692308
341,0.34366196,0.58181816,0.39692307
342,0.112676054,0.4181818,0.15076923
343,0.30704224,0.44848484,0.28615385
344,0.51830983,0.3121212,0.36
345,0.4338028,0.3969697,0.36
346,0.66760564,0.4848485,0.48923078
347,0.44225353,0.35757574,0.4923077
348,0.4169014,0.43030304,0.61538464
349,0.73521125,0.53333336,0.2676923
350,0.29295775,0.46666667,0.3723077
351,0.6112676,0.060606062,0.36923078
352,0.51830983,0.38181818,0.6615385
353,0.3830986,0.36969697,0.42153847
354,0.30140844,0.36363637,0.6369231
355,0.25915492,0.54242426,0.35692307
356,0.3887324,0.42424244,0.21230769
357,0.16338028,0.5272727,0.47692308
358,0.51267606,0.4939394,0.25538462
359,0.2535211,0.6454545,0.27076924
360,0.12957746,0.59090906,0.6492308
361,0.36901408,0.53939396,0.34153846
362,0.3802817,0.5212121,0.30153847
363,0.4197183,0.57575756,0.31384614
364,0.45070422,0.55454546,0.3846154
365,0.54366195,0.27878788,0.40923077
366,0.51267606,0.27575758,0.37846154
367,0.36619717,0.4212121,0.27384615
368,0.47887325,0.46060607,0.3723077
369,0.29859155,0.4090909,0.29538462
370,0.6,0.5060606,0.40923077
371,0.46478873,0.27878788,0.4523077
372,0.51267606,0.3242424,0.42153847
373,0.29014084,0.3909091,0.40307692
374,0.44225353,0.6727273,0.21538462
375,0.31267604,0.6151515,0.47692308
376,0.4169014,0.33636364,0.4369231
377,0.5830986,0.5272727,0.16615385
378,0.49577466,0.3121212,0.34461537
379,0.6647887,0.6515151,0.5415385
380,0.4112676,0.38787878,0.3876923
381,0.54366195,0.33636364,0.35076922
382,0.48732394,0.26969698,0.44615385
383,0.48169014,0.630303,0.42153847
384,0.44507042,0.33939394,0.6
385,0.34084508,0.5212121,0.3353846
386,0.57746476,0.33333334,0.52615386
387,0.34647888,0.33030304,0.5753846
388,0.4338028,0.55454546,0.11692308
389,0.25915492,0.6454545,0.46769232
390,0.29859155,0.35757574,0.71076924
391,0.3774648,0.36969697,0.44
392,0.46760562,0.5060606,0.18153846
393,0.5943662,0.37878788,0.2276923
394,0.3943662,0.37878788,0.4276923
395,0.44507042,0.43636364,0.16307692
396,0.52112675,0.5030303,0.21846154
397,0.71549296,0.5,0.2830769
398,0.55774647,0.45454547,0.6769231
399,0.32112676,0.25757575,0.2923077
400,0.49859154,0.3272727,0.4953846
401,0.3859155,0.4030303,0.59076923
402,0.48169014,0.5030303,0.5692308
403,0.571831,0.27878788,0.5630769
404,0.4084507,0.22121212,0.32923076
405,0.27323943,0.57272726,0.44923076
406,0.35211268,0.8333333,0.47076923
407,0.22816901,0.59090906,0.47076923
408,0.28732395,0.43939394,0.33846155
409,0.15774648,0.46666667,0.3723077
410,0.515493,0.38484848,0.5353846
411,0.32394367,0.54242426,0.2830769
412,0.31549296,0.5181818,0.3353846
413,0.45633802,0.54848486,0.36615384
414,0.371831,0.4212121,0.47692308
415,0.28169015,0.46060607,0.34461537
416,0.27887323,0.43030304,0.36923078
417,0.29577464,0.28787878,0.3353846
418,0.29859155,0.27575758,0.3323077
419,0.3887324,0.45151514,0.36
420,0.29577464,0.5969697,0.33846155
