Time (ms),af488_noc,af488_noc fitted model: ,af488luv_noc,af488luv_noc fitted model: ,af488luv_0cd20,af488luv_0cd20 fitted model: ,af488luv_thr-2,af488luv_thr-2 fitted model: ,
0.786426,0.003716579985597165,0.0025171238529770315,0.1890488006418937,0.20199130589048797,0.009016327540151563,0.005436257408785259,0.01840783627216889,0.012878069027715166,
0.917498,0.0031848752703903405,0.0020775184281231975,0.18616421367452246,0.19887512965271034,0.00847540844849792,0.004945117073974954,0.01790539529300142,0.012120385764095253,
1.04857,0.0027575907789010507,0.0017502331185870366,0.18345263858198357,0.19585623279125067,0.008033632609889499,0.0045731720337669375,0.017500884911564932,0.01153606496736639,
1.179642,0.002434866350816344,0.0014982115117847558,0.18087426531869044,0.19293013314969545,0.00766246742496776,0.004282530807771247,0.01713822141839868,0.011072422004547623,
1.310714,0.0021792036281715454,0.001298925054135721,0.17843219892054582,0.19009261975396938,0.007329951025543304,0.0040497343929348836,0.01681337248830395,0.01069609867931829,
1.441786,0.0019590348474373192,0.0011379186377707547,0.17609762393415432,0.18733973260888434,0.0070430024998875225,0.003859495324072949,0.016525730814933182,0.010384951931175198,
1.572858,0.001766018129892486,0.0010055097304430757,0.17387573483388424,0.18466774427439242,0.006809902028096518,0.0037014334542051046,0.01626879338165867,0.010123710534941143,
1.835002,0.0014968008261174004,0.0008015318810103452,0.16967129831318334,0.17955261754666338,0.006360119524899218,0.003454707084327777,0.015795981512855974,0.00971038878819186,
2.097146,0.0012935330486540423,0.000652701356221547,0.16574889361885745,0.17472146670580263,0.006009973625838153,0.003271842689996485,0.015390998236337076,0.009399077757392193,
2.35929,0.0011133450737304252,0.0005400498261295064,0.16207658344336237,0.17015130090298827,0.005717197071337487,0.0031315730777125897,0.015022504377466677,0.009156949192930862,
2.621434,0.0009852195387689414,0.00045228668606606083,0.15860722770641283,0.16582154579365532,0.0054818316836777355,0.0030210282036837364,0.014710325463241646,0.008963800873739138,
2.883578,0.0008738175337088115,0.0003823003899077254,0.1553334282989735,0.161713734176934,0.005270202924003045,0.002931983346527804,0.014437996930706444,0.00880653419631583,
