$D$ in $\frac{{\mu m^2}}{{s}}$,$\tau_{{D}}$ in $ms$,Trace lengths,folder_id-traces_used,Photon count bin for correlation in $ns$
23.868873027107266,0.4722072547851245,8192.0,0-orig,100000.0
21.66074126848418,0.5203448426459958,8192.0,0-orig,100000.0
22.74856486154528,0.49546224456549737,8192.0,0-orig,100000.0
21.900620156157277,0.5146454724377387,8192.0,0-orig,100000.0
21.803297748786022,0.5169426724713047,8192.0,0-orig,100000.0
25.50059387619839,0.44199186347048736,8192.0,0-orig,100000.0
21.684483236255584,0.5197751260265348,8192.0,0-orig,100000.0
19.65532892174246,0.5734350746212716,8192.0,0-orig,100000.0
22.55516548058183,0.4997105880978125,8192.0,0-orig,100000.0
20.413228021760528,0.55214466790505,8192.0,0-orig,100000.0
23.335773145884254,0.4829947110165883,8192.0,0-orig,100000.0
25.59574067846825,0.44034885133941476,8192.0,0-orig,100000.0
20.559490180090947,0.5482166584976655,8192.0,0-orig,100000.0
20.658936799787952,0.5455776895092063,8192.0,0-orig,100000.0
21.6257101974718,0.5211877392245224,8192.0,0-orig,100000.0
18.68180043502174,0.6033173861452777,8192.0,0-orig,100000.0
20.96986893608726,0.5374880997729344,8192.0,0-orig,100000.0
22.87723603158304,0.49267555710772215,8192.0,0-orig,100000.0
20.101160641946628,0.5607166276471048,8192.0,0-orig,100000.0
21.976443636491016,0.5128698343270558,8192.0,0-orig,100000.0
23.498716978467126,0.4796455490430892,8192.0,0-orig,100000.0
19.202758942738598,0.5869497732359498,8192.0,0-orig,100000.0
26.578688035836915,0.42406363292830307,8192.0,0-orig,100000.0
20.92124459822459,0.5387373085777845,8192.0,0-orig,100000.0
23.4541239734162,0.48055749256378416,8192.0,0-orig,100000.0
24.74285534842836,0.45552766033775294,8192.0,0-orig,100000.0
20.605868998142906,0.5469827556392223,8192.0,0-orig,100000.0
23.11002984062692,0.4877126981087131,8192.0,0-orig,100000.0
25.206592285468787,0.44714711450474875,8192.0,0-orig,100000.0
20.523256584396883,0.5491845292970715,8192.0,0-orig,100000.0
24.941337209109907,0.45190259497506957,8192.0,0-orig,100000.0
22.79368707449225,0.49448143120110366,8192.0,0-orig,100000.0
23.08031280026494,0.48834065224695067,8192.0,0-orig,100000.0
21.809095217893283,0.516805254612199,8192.0,0-orig,100000.0
20.68664593072426,0.5448469048433322,8192.0,0-orig,100000.0
23.024318149729414,0.489528286294875,8192.0,0-orig,100000.0
21.63518262932141,0.5209595500095182,8192.0,0-orig,100000.0
25.06311046804102,0.4497069516298547,8192.0,0-orig,100000.0
22.874957133329836,0.4927246394933172,8192.0,0-orig,100000.0
20.352352824544905,0.5537961681438696,8192.0,0-orig,100000.0
28.50742445531618,0.3953726168637853,8192.0,0-orig,100000.0
22.668380858324646,0.4972148243576863,8192.0,0-orig,100000.0
21.622205038547907,0.5212722285655452,8192.0,0-orig,100000.0
21.421879470362178,0.5261468781270511,8192.0,0-orig,100000.0
22.282240578264204,0.5058313129398518,8192.0,0-orig,100000.0
25.028866841305625,0.45032222506950204,8192.0,0-orig,100000.0
22.274805420618122,0.5060001555170603,8192.0,0-orig,100000.0
20.443725119611628,0.551321001480925,8192.0,0-orig,100000.0
28.49241231420252,0.39558093160566754,8192.0,0-orig,100000.0
25.207691947483966,0.44712760812955016,8192.0,0-orig,100000.0
23.07194196506128,0.4885178293189717,8192.0,0-orig,100000.0
20.432190018457902,0.551632252673994,8192.0,0-orig,100000.0
23.815002221425225,0.47327541279021995,8192.0,0-orig,100000.0
22.67659799116144,0.4970346526995847,8192.0,0-orig,100000.0
22.534685749808926,0.5001647297007723,8192.0,0-orig,100000.0
24.153668369534593,0.4666394700177877,8192.0,0-orig,100000.0
22.39965243784508,0.5031799059481005,8192.0,0-orig,100000.0
20.582685104391263,0.5475988652491397,8192.0,0-orig,100000.0
20.638452668636443,0.5461191877079655,8192.0,0-orig,100000.0
22.8282427907267,0.49373292155117426,8192.0,0-orig,100000.0
21.02937235532395,0.5359672564878791,8192.0,0-orig,100000.0
22.094816178459933,0.5101221443033815,8192.0,0-orig,100000.0
21.583273808371448,0.5222124830095679,8192.0,0-orig,100000.0
21.452325941997298,0.5254001378414469,8192.0,0-orig,100000.0
22.097476907833656,0.5100607211382303,8192.0,0-orig,100000.0
25.241738025698417,0.446524522022614,8192.0,0-orig,100000.0
22.656992892982554,0.497464736833455,8192.0,0-orig,100000.0
22.041330527723705,0.5113600103572801,8192.0,0-orig,100000.0
21.196734761192594,0.5317354363267449,8192.0,0-orig,100000.0
21.943211600579176,0.5136465532988588,8192.0,0-orig,100000.0
25.851432063490602,0.4359934482261385,8192.0,0-orig,100000.0
19.72127518117369,0.5715175567198917,8192.0,0-orig,100000.0
23.289631121315917,0.4839516327344984,8192.0,0-orig,100000.0
21.599612574802006,0.5218174616749274,8192.0,0-orig,100000.0
