Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2 fitted model: ,
0.04,0.5381149628132159,0.554339161774556,0.5400384046338828,0.5530022917630391,0.5289752571801526,0.5395761930394621,
0.044,0.5269392301759115,0.5469683751546669,0.5224248216020952,0.5449551823977674,0.5112820230609395,0.5317785595490399,
0.048,0.5299226781241952,0.5397892155591613,0.5179171082972015,0.5371362838459448,0.5035955921805816,0.5242003652237243,
0.052000000000000005,0.5165241729421249,0.5327943114068734,0.5091979545042987,0.5295360312382139,0.49779547214178005,0.5168324824051691,
0.056,0.5038819416703461,0.5259766644160162,0.5039385937235428,0.5221453868404632,0.4983944919432834,0.5096662827218644,
0.06,0.501808531957064,0.5193296262696189,0.4907596841270782,0.5149558042333218,0.4865512007719973,0.5026936034107296,
0.064,0.48567706214733697,0.5128468770096941,0.48850465229007095,0.5079591953734295,0.4776687031665514,0.495906716328473,
0.07200000000000001,0.4845264212407303,0.5003504884118218,0.4746491501286655,0.494514659034708,0.47182071283935534,0.4828614103198795,
0.08,0.4618967670003941,0.48844278043998546,0.47378454945841014,0.48175514639422984,0.4581267984474252,0.470476201136807,
0.088,0.45051861242737024,0.47708314747842073,0.45235218958445345,0.46962964840574756,0.44936356328831145,0.4587022664303091,
0.096,0.45282376333439783,0.46623463433217865,0.44229469979246394,0.458092097566745,0.43652921693692687,0.44749548251524535,
0.10400000000000001,0.44088934077271635,0.45586353503129506,0.43295126454368926,0.447100783674132,0.42031838600706833,0.43681587240229364,
0.112,0.43396120797166116,0.44593904340855867,0.41811052351940253,0.43661785055618524,0.4342745312342765,0.4266271298536667,
0.12,0.4253940844970931,0.4364329478201649,0.41411404253412737,0.4266088609825212,0.41088632058522256,0.41689620752061024,
0.128,0.4105898617613391,0.4273193636373582,0.4129635232919736,0.41704241921454577,0.3992718752448278,0.4075929593175416,
